PassengerId,Output,Survived,Results Comparison
710,0,1,False
440,0,0,True
841,0,0,True
721,1,1,True
40,1,1,True
291,1,1,True
301,1,1,True
334,0,0,True
209,1,1,True
137,1,1,True
138,0,0,True
697,0,0,True
486,0,0,True
245,0,0,True
345,0,0,True
854,1,1,True
622,0,1,False
654,1,1,True
887,0,0,True
111,0,0,True
295,0,0,True
448,0,1,False
193,1,1,True
683,0,0,True
539,0,0,True
820,0,0,True
31,1,0,False
674,0,1,False
64,0,0,True
397,1,0,False
878,0,0,True
142,1,1,True
794,1,0,False
236,1,0,False
205,0,1,False
621,0,0,True
24,1,1,True
199,1,1,True
843,1,1,True
740,0,0,True
121,0,0,True
478,0,0,True
838,0,0,True
791,0,0,True
363,0,0,True
87,0,0,True
68,0,0,True
351,0,0,True
211,0,0,True
660,0,0,True
449,1,1,True
821,1,1,True
361,0,0,True
803,1,1,True
281,0,0,True
586,1,1,True
71,0,0,True
300,1,1,True
212,1,1,True
45,1,1,True
409,0,0,True
447,1,1,True
427,1,1,True
169,1,0,False
197,0,0,True
773,0,0,True
73,0,0,True
423,0,0,True
533,0,0,True
592,1,1,True
313,1,0,False
312,1,1,True
890,1,1,True
836,1,1,True
834,0,0,True
606,0,0,True
768,1,0,False
540,1,1,True
358,1,0,False
255,0,0,True
267,0,0,True
67,1,1,True
320,1,1,True
779,0,0,True
175,0,0,True
494,0,0,True
216,1,1,True
310,1,1,True
823,0,0,True
251,0,0,True
166,0,1,False
542,0,0,True
626,0,0,True
389,0,0,True
77,0,0,True
282,0,0,True
713,0,1,False
339,0,1,False
328,1,1,True
322,0,0,True
546,0,0,True
591,0,0,True
292,1,1,True
466,0,0,True
815,0,0,True
443,0,0,True
671,1,1,True
463,0,0,True
287,0,1,False
210,1,1,True
670,1,1,True
228,0,0,True
850,1,1,True
513,0,1,False
528,0,0,True
877,0,0,True
97,0,0,True
293,0,0,True
324,1,1,True
737,0,0,True
530,0,0,True
219,1,1,True
276,1,1,True
79,1,1,True
786,0,0,True
605,1,1,True
797,1,1,True
140,1,0,False
579,1,0,False
495,0,0,True
360,1,1,True
66,0,1,False
482,0,0,True
778,1,1,True
600,0,1,False
831,1,1,True
307,1,1,True
232,0,0,True
846,0,0,True
50,1,0,False
653,0,0,True
855,0,0,True
343,0,0,True
595,0,0,True
886,0,0,True
417,1,1,True
214,0,0,True
34,0,0,True
32,1,1,True
669,0,0,True
585,0,0,True
515,0,0,True
689,0,0,True
110,1,1,True
78,0,0,True
612,0,0,True
644,0,1,False
83,1,1,True
519,1,1,True
658,0,0,True
297,0,0,True
508,1,1,True
809,0,0,True
376,1,1,True
6,0,0,True
55,0,0,True
399,0,0,True
458,1,1,True
522,0,0,True
364,0,0,True
98,1,1,True
418,1,1,True
573,0,1,False
853,1,0,False
434,0,0,True
774,0,0,True
26,0,1,False
85,1,1,True
11,1,1,True
332,0,0,True
734,0,0,True
383,0,0,True
705,0,0,True
814,0,0,True
119,1,0,False
537,0,0,True
362,0,0,True
30,0,0,True
56,1,1,True
866,1,1,True
596,0,0,True
240,0,0,True
722,0,0,True
82,0,1,False
260,1,1,True
487,1,1,True
717,1,1,True
801,0,0,True
782,1,1,True
543,0,0,True
327,0,0,True
535,1,0,False
536,1,1,True
484,0,1,False
763,0,1,False
534,1,1,True
714,0,0,True
391,0,1,False
496,0,0,True
483,0,0,True
378,1,0,False
366,0,0,True
413,1,1,True
469,0,0,True
410,0,0,True
8,0,0,True
581,1,1,True
156,0,0,True
881,1,1,True
426,0,0,True
102,0,0,True
200,1,0,False
425,0,0,True
